감성,NULL,음식,충청북도 충주시 갱고개로 70 (교현동)
건영세탁소,043-851-6892,서비스업,충주시 대흥길 50-15 (교현동)
궁중식당,NULL,음식,충주시 예성6길 33 (교현동)
권쌤헤어스타링,NULL,서비스,"충청북도 충주시 대흥6길 31-1, 1층 (교현동)"
김현주헤어샵,043-856-4596,서비스업,충주시 삼원로 157 (교현2동)
까망댕기미용실,043-853-8890,서비스업,충주시 대가미 12길 18 (교현2동)
끼헤어클럽,043-851-8422,서비스업,충주시 대가미1길 14 (교현동)
놀부보쌈 충주점,043-848-4200,일반음식,충주시 천변로 175 (교현동)
농협은행㈜ 충주시지부,043-841-4113,소매,충주시 국원대로 100(교현동)
다두무리헤어클럽,043-855-8486,서비스업,충주시 국원대로 139 (교현동)
다예헤어갤러리,043-848-0772,서비스업,충주시 국원대로 10 8(교현동) 
대충주농산,NULL,도소매,"충주시 대현4길24, 1층 (교현2동)"
동원카센타,043-847-5981,서비스업,충주시 봉현로 244 (교현동)
드림유웨딩,043-857-7200,서비스업,충주시 예성로 259 (교현동)
림스헤어,043-842-0828,서비스업,충주시 대현5길12 (교현동)
미쉘원멀티뷰티샵&워터바,043-857-9990,소매,충주시 만리산15길 4 (교현동)
백억상회,NULL,도소매,충주시 예성7길 3-1 (교현동)
백옥생화장품충주지사,043-856-2137,도소매,"충주시 국원대로 137, 2층(교현2동)"
법무사장도원사무소,043-852-3377,서비스업,충주시 계명대로 114 (교현2동)
복지회관 이용원,043-844-6217,사회및개인서비스,충주시 예성5길 1 (교현동)
삼성화재예가 (대),043-848-6233,서비스업,충주시 국원대로 113 (교현동) 
새시대전자(한일AS),043-847-2335,서비스업,충주시 예성로 195-1 (교현동)
성심헤어샵,NULL,서비스,충주시 예성7길 5 (교현동)
성원마트,043-847-0536,소매,충주시 대가미3길 20 (교현동)
수아헤어라인,043-851-2473,서비스업,충청북도 충주시 예성로 277 (교현동)
씨티헤어뱅크,043-843-2181,서비스업,충주시 예성7길 11 (교현2동) 
아이엘스튜디오,043-854-7116,서비스업,충주시 계명대로 117 (교현동)
앙포레헤어갤러리,043-855-4540,서비스업,충주시 천변로 215 (교현동)
애플헤어샵,043-854-3227,서비스업,"충주시 대현4길 47, 1층 (교현동)"
예일사,043-847-8236,서비스업,충주시 천변로 247 (교현동)
예지장돌침대,438531296,소매,"충청북도 충주시 예성로 253, 1층 (교현동)"
오빠빨래방,043-854-5882,서비스업,"충주시 대가미3길 13, 1층 (교현2동)"
은혜미용실2,043-843-3488,서비스업,충주시 대현4길 12 (교현동)
임종헌한의원,043-856-8900,의료서비스,"충주시 예성로 279, 부강상가2층 2호 (교현동)"
장뜰노래방,043-845-5811,서비스업,"충주시 국원대로 64 (교현동, 동부빌딩)"
정인옥헤어샵,NULL,서비스,충주시 대가미11길 14 (교현동)
중국감초당한의원,043-844-0917,의료서비스,충주시 예성6길 6 (교현동)
중앙동물의료센터,043-852-8875,서비스업,충주시 국원대로 131 (교현2동)
차사랑 외형복원,043-852-9440,서비스,충주시 교현2동 540-2 
카카오포토,043-844-7777,서비스업,충주시 국원대로 123 (교현2동)
크린크린세탁소,043-852-1139,서비스,충주시 봉현로 242 (교현동)
토브헤어,043-845-3744,서비스업,충주시 예성로 267 (교현동)
포맨남성컷전문점,043-911-1914,서비스업,충주시 금릉로 110 (교현동)
한스타워나이스당구클럽,NULL,서비스업,"충주시 국원대로 107, 9층 (교현동,한스타워)"
한스타워나이스롤러파크,NULL,서비스업,"충주시 국원대로 107,한스타워2층 (교현동)"
한스타워시네마,070-7525-0037,정보통신및소매업,"충주시 국원대로 107, 5,6,7,8층 (교현동)"
해성구이,043-854-9906,음식,충주시 야현2길 2(교현동)
(자)그린항공여행사,043-847-2262,서비스업,충주시 봉현로 288 (교현동)
hair 1004,043-844-0042,서비스업,충주시 금릉로 100 (교현동)
가이미용실,010-9218-3954,서비스업,"충주시 야현2길 8, 1층 (교현동)"
강산종합식품,NULL,도소매,충주시 천변로 195 (교현동)
건강더하기헬스,NULL,서비스업,충주시 봉현로 320 (교현동)
건강미피부미용,NULL,서비스업,충주시 남산10길 19 (교현동)
건국카세차장,043-847-2103,서비스업,충주시 국원대로 83 (교현동)
건일목욕탕,043-845-2300,서비스업,충주시 남산9길 15 (교현동)
경희본한의원,043-847-8275,서비스업,충주시 예성로 194 (교현동)
계명정보통신,043-854-8011,소매,충주시 국원대로 127 (교현동)
공부방꿈트리,010-5613-8483,서비스업,"충주시 남산7길 19, 1층 (교현동)"
교현아파트입주자대표회의,043-847-6670,서비스업,"충주시 예성로 273, 1층 (교현동)"
권혜정헤어,043-852-8335,미용업,충주시 대가미12길 6-1 (교현동)
귀빈미용실,043-847-8554,서비스업,충주시 예성7길 1 (교현동)
그랜드피아노학원,043-843-3214,서비스,충주시 염밭로 98 (교현동)
그린커텐장식백화점,NULL,소매,충주시 예성로 234 (교현동)
길헤어샵,043-857-5999,서비스업,충주시 금봉8길24 (교현동)
김용수카센터,043-844-1289,서비스업,충주시 봉현로 252 (교현동)
김헤어샵,043-851-7336,서비스업,충주시 예성로 251(교현동)
까까보까,043-846-2121,서비스업,충주시 염밭로 88-1 (교현동)
까까쟁이,043-855-5557,서비스업,충주시 만리산로 28 (교현동)
꿈의탁구장,010-5276-8295,서비스업,"충주시 계명대로 130 (교현동,하나빌딩지하)"
나나헤어,043-848-1040,서비스업,"충주시 야현1길 28, 1층 (교현동)"
나다움토탈뷰티케어,NULL,서비스업,"충주시 염밭로 82, 1층 (교현동)"
나이스노래방,438425131,서비스업,충청북도 충주시 사직로 314-1 (안림동)
남산당구교실,NULL,서비스,충주시 남산14길 17 (교현동)
남산운동화빨래방,043-855-0663,서비스업,충주시 남산 14길 33 (교현동)
남양우유 충주대리점,043-911-8373,도매업,충주시 야현3길 18 (교현동)
넝쿨공인중개사사무소,043-846-2999,서비스업,충주시 사직로 281 (안림동)
네일공간,010-2445-4980,서비스업,충주시 염밭로 96 1층 101호 (교현동)
뉴모즈헤어,043-855-1777,서비스업,충주시 만리산로 24-1 (교현동)
뉴에덴미용실,NULL,서비스업,충주시 남산7길 1 (교현동)
대한논리속독 충주학원,043-855-8214,서비스업,충주시 계명대로 130 (교현동)
더데이미디어,070-8770-2683,서비스업,충주시 갱고개로 23 (교현동)
더온(카젠교현점),NULL,서비스업,충주시 천변로 24 (교현동)
더차,NULL,서비스업,충주시 국원대로 91 (교현동)
동아금방,043-851-3481,소매,충주시 예성로 251(교현동)
동아목욕탕,010-9242-0297,서비스업,충주시 봉현로 320 (교현동)
동아세탁소,043-852-4547,서비스업,충주시 봉현로 292 (교현동)
동일종합장식,043-844-8174,도소매,충주시 예성로 252-1 (교현동)
듀레베이커리 남산점,043-854-5439,음식,충주시 안림로 286 (안림동)
떠블유짐,010-4465-1500,서비스업,"충주시 국원대로 91, 2층 (교현동)"
라라크린,010-9261-0640,서비스업,"충주시 만리산15길 21-2, 102호 (교현동)"
라미뷰티,NULL,서비스업," 충주시 염밭로 102, (교현동)"
라온헤어,NULL,서비스업,"충주시 염밭로 104,1층 (교현동)"
람보헬스클럽,043-846-2445,서비스업,"충주시 천변로 261, 4층 (교현동)"
레드헤어,043-847-4858,서비스업,충주시 염밭로 84-1 (교현동)
로앤헤어,043-856-6905,서비스업,충주시 남산4길 51(교현동)
로이에스테틱,NULL,서비스업,"충주시 사직로313, 2층 (안림동)"
루시헤어샵,NULL,서비스,충주시 사직로 283 (안림동)
마녀가탄빗자루,043-846-5655,서비스업 ,충주시 여수월1길 15 (교현동)
마이헤어드레서,NULL,서비스업,충주시 염밭로 102 (교현동)
맛조은김밥,043-846-7123,일반음식,충주시 예성 7실 4 (교현동)
매직칼라,NULL,서비스업,"충주시 봉현로 367, 103호 (안림동,안림엘에이치상가)"
맥스터디카페,NULL,서비스업,"충주시 봉현로 348-2, 2층 (교현동)"
머리사랑,043-857-4657,서비스업,충주시 만리산 15길 13-1 (교현동)
머리애봄헤어샵,043-848-1739,서비스업,"충주시 봉현로 286, 1층 (교현동)"
명인미용실,043-844-1629,서비스,충주시 예성11길 8 (교현동)
모아헤어클리닉,043-842-3421,서비스업,충주시 남산4길 53 (교현동) 
모유사랑,010-4870-7941,서비스업,"충주시 천변로 235-5, 2층 (교현동)"
미래공인중개사사무소,043-845-4040,부동산,충주시 봉현로 292 (교현동)
미소공인중개사,043-846-4589,부동산중개업,"충주시 만리산10길 28 (안림동, 엘지@상가동103호)"
미용실엘,043-852-2279,서비스업,"충주시 야현10길 4-7, 1층 (교현동)"
미장원,043-856-3505,서비스업,충주시 만리산15길28 (교현동)
바로헤어클럽,043-852-1627,서비스업,충주시 남산9길 23 (교현동)
박미선미용실,043-845-1605,서비스업,충주시 신호2길2 (교현동)
백성흠정형외과,043-855-0507,보건업,충주시 안림로 50 (안림동)
백옥사,NULL,서비스업,"충주시 남산9길 15 (교현동,건일상가)"
변호사박종엽법률사무소,043-910-5735,서비스업,"충주시 계명대로 116, 2층 (교현동)"
